id,vote_average
6252,0
4684,0
1731,0
4742,0
4521,0
6340,0
576,0
5202,0
6363,0
439,0
2750,0
7487,0
5272,0
5653,0
3999,0
6033,0
582,0
9930,0
7051,0
8158,0
9896,0
2249,0
4640,0
9485,0
4947,0
9920,0
1963,0
8243,0
6590,0
8847,0
321,0
2678,0
4625,0
4949,0
8328,0
3337,0
5589,0
251,0
3973,0
6630,0
5547,0
35,0
8362,0
1513,0
9317,0
39,0
4819,0
3465,0
1760,0
2304,0
3723,0
8284,0
4993,0
8127,0
3032,0
7938,0
3039,0
9655,0
2545,0
2592,0
1188,0
7966,0
6077,0
107,0
1315,0
8187,0
2753,0
9753,0
6231,0
2876,0
5323,0
799,0
3570,0
2894,0
2927,0
8178,0
971,0
6687,0
8575,0
2020,0
9054,0
952,0
5359,0
3857,0
5861,0
3145,0
3305,0
3006,0
9001,0
7770,0
7438,0
7942,0
9238,0
1056,0
3154,0
3787,0
9189,0
7825,0
7539,0
7231,0
764,0
5019,0
4903,0
8093,0
6843,0
2165,0
1862,0
7850,0
9123,0
2340,0
5527,0
6743,0
4003,0
1123,0
8709,0
4049,0
7640,0
765,0
2344,0
4071,0
7216,0
4216,0
7952,0
5970,0
3350,0
4695,0
3399,0
4081,0
9149,0
1224,0
6292,0
3122,0
510,0
5794,0
8181,0
9417,0
96,0
6681,0
1512,0
8791,0
119,0
7791,0
6517,0
33,0
7887,0
6830,0
5421,0
1068,0
1347,0
4747,0
6005,0
6039,0
3817,0
8446,0
5269,0
6897,0
5309,0
31,0
5674,0
4386,0
29,0
4202,0
7507,0
735,0
2067,0
106,0
9644,0
8894,0
8020,0
2232,0
993,0
9412,0
7058,0
6789,0
360,0
304,0
2627,0
8965,0
4513,0
5910,0
8313,0
3100,0
5703,0
3898,0
5440,0
7930,0
621,0
7235,0
2498,0
713,0
8403,0
2855,0
4269,0
2908,0
8080,0
4516,0
1261,0
3160,0
970,0
3912,0
5198,0
8846,0
259,0
3790,0
9202,0
487,0
7907,0
518,0
8342,0
311,0
3231,0
7932,0
7457,0
9783,0
5183,0
8076,0
6501,0
6790,0
7772,0
2737,0
7841,0
6261,0
8205,0
1247,0
9335,0
4194,0
8000,0
7377,0
3434,0
5381,0
958,0
416,0
5741,0
6727,0
4381,0
5196,0
1112,0
2688,0
6472,0
8819,0
7807,0
3410,0
80,0
4613,0
1373,0
1509,0
6442,0
3070,0
3015,0
4822,0
7821,0
92,0
9420,0
6599,0
4442,0
7601,0
3834,0
9701,0
4321,0
3393,0
4751,0
7228,0
9190,0
2360,0
1147,0
5665,0
8074,0
4942,0
3662,0
1562,0
4112,0
9049,0
9275,0
8537,0
794,0
5853,0
7618,0
1593,0
7417,0
5266,0
7146,0
88,0
8694,0
9731,0
9445,0
6753,0
3501,0
2233,0
